occupation,n
work in a welding fabrication shop,1
work in customer service,1
work in health care,1
work in retail,1
work in the oil industry,1
working at a nursing home- student,1
works in a grocery store,1
writer,1
youth care worker,1
"zomboni driver, shift duty engineer",1
